sample_id,time
F3D0_S188,Early
F3D1_S189,Early
F3D141_S207,Late
F3D142_S208,Late
F3D143_S209,Late
F3D144_S210,Late
F3D145_S211,Late
F3D146_S212,Late
F3D147_S213,Late
F3D148_S214,Late
F3D149_S215,Late
F3D150_S216,Late
F3D2_S190,Early
F3D3_S191,Early
F3D5_S193,Early
F3D6_S194,Early
F3D7_S195,Early
F3D8_S196,Early
F3D9_S197,Early
